HIDROREY INDUSTRIAL,,,,,,,,,,,,,,,,,,,
Fecha:,,15/12/2025,,,,Catálogo de Productos,,,,,,,,,,Página:,,1,
Hora:,,14:23:05,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Clase,,,Clave,Nombre,Atributo,,Unidad,Grupo,,Subgrupo,Ma. Lo.,D. Vi.,,Tipo de Producto,,,,,Clave SAT
,PAQUETE KIT BOQUILLAS CONEXION RAPIDA PAQUETE CON 5 BOQUILLAS #3.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,005722,JGO. BOQUILLAS CONEX RAP 5PZAS #4.0,,,JUEGO,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,23153143,
,PAQUETE KIT BOQUILLAS CONEXION RAPIDA PAQUETE CON 5 BOQUILLAS #4.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,005723,JGO. BOQUILLAS CONEX RAP 5PZAS #4.5,,,JUEGO,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,PAQUETE KIT BOQUILLAS CONEXION RAPIDA PAQUETE CON 5 BOQUILLAS #4.5,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,005882,BYPASS AL686 3650 PSI C/MICROSW,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,BYPASS CON PRESOSTATO MOD. AL686 3650 PSI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,006210,BOQULLLA SEWER 1/4 FTP #4.5 S.S.,,,PIEZA,,,,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,006213,BOQULLLA SEWER 3/8 FTP #4.5 S.S.,,,PIEZA,,,,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,006220,BOMBA GENERAL PUMP TFS 2019 7.6GPM 3600,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,BELOW SHIPPED FROM WHSE#2 #6220 GENERAL  TFS 2019 PUMP 7.6 GPM 3600 PSI,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,006431,MANGUERA Y FILTRO PARA INYECTOR QUIM,,,PIEZA,,,,Lote/Serie/Pedim,,,X_OBSOLETOS,,,,,
,MANGUERA Y FILTRO PARA INYECTOR QUIM 4 FT LONG,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
LUBRIC,,,0066B,COPLE GIRAT AP 3/8 CARRETETE FAICOMA,,,PIEZA,LUB,,LUBACCS,,,,X_OBSOLETOS,,,,,
,"160,161",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
OBS,,,006712,TERMOSTATO 250 GRD FARENHEIT,,,PIEZA,,,,,,,X_OBSOLETOS,,,,41112209,
,,,,,,,,,,,,,,,,,,,
OBS,,,006867,MANGUERA 4000PSI 50FT CON CONEX,,,PIEZA,,,,,,,X_OBSOLETOS,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00718ES1E215TC,MOTOR B/C 1F 4P 7.5HP 230/460 A215TC,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,26101100,
,"MOTOR B/C 1F 4P 7.5HP 230/460 A215TC
12202679",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00718ES1E215TCN,MOTOR WEG 7.5HP MONOFASICO 1750 RPM BRID,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,26101100,
,MONOFASICO 208/230 VOLTS ARM BRIDA 215TC,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00718ET3EM213TCW,MOTOR 7.5HP WEG 3F 220V 1750 RPM 213TC,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,26101115,
,"TRIFASICO 220V/440V BRIDA 213TC
12860619",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00718ET3EM213TW,MOTOR WEG 7.5HP 1750RPM  220/440V STD,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,26101115,
,MOTOR WEG 7.5HP 1750RPM  220/440V STD   4POLOS,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00718ET3EM21ETW,MOTOR 7.5HP 3F MCA WEG 1750RPM STD,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,,
,"SOLO MOTOR BRIDA STD
12860535",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
POTENCIA,,,00736ET3EM213TCW,MOTOR 7.5HP WEG 3F 220V 3450 RPM 213TC,,,PIEZA,MOTORES,,ELECTRICO,,,,MOTORES,,,,,
